Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
USA,2024,Zika,Neurological,5.14,5.45,8.83,0-18,Female,823178,74.58,3.17,1.0,Surgery,15920,Yes,70.32,2374,0.89,21129,0.69,89.94
USA,2020,Measles,Autoimmune,14.35,12.04,0.38,0-18,Other,839486,60.71,2.43,1.4,Medication,41356,No,81.09,1510,8.95,80289,0.85,86.26
USA,2021,Parkinson's Disease,Infectious,8.51,3.06,1.86,19-35,Female,251086,66.52,3.65,2.06,Therapy,33362,No,63.83,2650,1.89,93731,0.4,63.35
USA,2020,COVID-19,Metabolic,1.07,4.61,3.34,19-35,Other,246050,65.6,1.86,2.04,Surgery,770,Yes,63.33,3623,5.47,30564,0.84,44.94
USA,2020,Cholera,Respiratory,13.46,11.55,6.65,36-60,Female,482248,69.7,4.95,0.91,Vaccination,18134,No,93.17,4641,5.23,37742,0.72,62.99
USA,2024,Zika,Neurological,0.91,9.03,0.41,19-35,Male,649506,78.11,4.59,5.43,Medication,47943,Yes,52.7,2817,7.46,77107,0.68,54.72
USA,2024,Parkinson's Disease,Genetic,14.1,8.9,6.71,36-60,Male,25182,57.54,2.38,4.64,Vaccination,3444,No,84.89,1218,3.04,89667,0.83,31.73
USA,2024,Rabies,Autoimmune,8.57,7.25,5.82,61+,Other,124430,55.84,0.94,6.17,Medication,2904,Yes,78.41,3925,8.02,64936,0.65,74.94
USA,2023,Rabies,Neurological,13.21,0.72,9.94,36-60,Female,898752,70.31,3.79,6.45,Vaccination,40316,No,94.4,4153,4.31,32487,0.41,33.41
USA,2021,Asthma,Parasitic,5.07,11.07,7.56,36-60,Male,495199,73.53,2.39,3.91,Medication,8689,Yes,85.19,225,5.0,5759,0.48,50.57
USA,2021,Ebola,Respiratory,5.66,14.67,0.19,0-18,Female,168320,91.77,1.63,7.15,Vaccination,23052,Yes,80.61,3647,7.82,6054,0.76,44.49
USA,2023,Dengue,Respiratory,7.98,0.57,3.7,0-18,Other,802236,99.0,3.34,3.93,Medication,18058,No,65.68,756,5.28,53052,0.45,77.47
USA,2023,Malaria,Metabolic,5.86,0.74,0.91,0-18,Female,723708,58.74,4.16,8.61,Therapy,29494,Yes,55.71,2345,4.07,14965,0.52,61.23
USA,2024,Cholera,Cardiovascular,18.17,13.63,2.1,19-35,Male,934860,65.95,4.54,1.49,Therapy,33400,Yes,84.27,2675,8.7,8374,0.87,71.32
USA,2024,Alzheimer's Disease,Respiratory,4.91,1.69,2.86,36-60,Male,870155,80.09,1.95,5.43,Vaccination,13613,No,88.03,2945,2.97,98049,0.58,84.66
USA,2020,Influenza,Respiratory,8.78,5.91,1.1,0-18,Male,214404,74.68,4.46,2.15,Medication,9557,No,94.91,105,1.88,22638,0.88,68.0
USA,2024,Hepatitis,Genetic,5.11,6.34,8.44,36-60,Female,240004,54.07,3.98,9.11,Therapy,27235,No,84.87,1932,0.03,91593,0.54,48.67
USA,2023,COVID-19,Genetic,13.24,5.57,7.6,19-35,Other,445931,94.3,4.94,7.88,Vaccination,1153,Yes,79.98,2551,2.04,80617,0.82,67.59
USA,2024,Influenza,Cardiovascular,19.28,3.99,9.53,19-35,Male,945295,69.4,4.02,2.59,Medication,11752,No,84.82,526,1.21,20947,0.67,65.65
USA,2020,Ebola,Neurological,17.66,5.63,1.96,61+,Male,229495,73.84,4.13,9.2,Therapy,29305,No,79.41,3816,7.78,80459,0.61,43.85
USA,2021,Tuberculosis,Chronic,9.69,2.34,0.96,0-18,Other,627824,77.79,2.43,1.65,Medication,45487,No,69.06,3449,5.36,23117,0.59,43.62
USA,2023,Polio,Genetic,18.62,5.92,7.78,0-18,Female,627695,59.68,3.56,6.56,Surgery,40393,No,96.3,1941,3.83,29123,0.49,38.23
USA,2023,Cholera,Respiratory,0.78,5.65,7.16,36-60,Female,864541,58.1,0.88,9.29,Therapy,40082,Yes,77.64,1508,0.76,81985,0.54,24.71
USA,2021,Influenza,Metabolic,19.52,4.03,0.63,36-60,Other,27057,92.99,4.53,1.37,Surgery,24175,No,59.46,1484,0.54,642,0.9,25.23
USA,2024,Measles,Bacterial,8.45,1.56,1.25,19-35,Other,31308,50.33,1.22,4.11,Surgery,18076,Yes,87.68,2475,4.02,19921,0.88,35.07
USA,2021,Hypertension,Autoimmune,10.81,0.46,2.0,19-35,Female,989229,96.33,2.25,6.53,Medication,22212,Yes,74.29,4221,9.34,47347,0.84,36.82
USA,2022,Ebola,Neurological,11.55,5.99,9.79,36-60,Male,578940,60.98,3.54,8.87,Surgery,25587,No,72.9,100,8.82,55195,0.6,61.52
USA,2020,Hypertension,Neurological,14.95,10.34,1.52,61+,Female,666228,97.93,1.55,8.4,Therapy,23283,No,97.34,16,1.49,38904,0.74,67.91
USA,2023,Parkinson's Disease,Cardiovascular,13.97,5.45,7.38,19-35,Male,558654,70.67,4.7,9.38,Vaccination,26970,No,65.06,4710,5.63,53520,0.41,68.0
USA,2020,Ebola,Autoimmune,14.14,7.77,7.91,19-35,Female,735884,65.42,3.12,2.05,Medication,19371,Yes,76.74,603,4.19,65490,0.85,35.04
USA,2022,Hepatitis,Parasitic,6.26,12.87,6.54,0-18,Male,483718,95.32,2.55,2.47,Surgery,46036,Yes,82.56,607,2.95,97981,0.83,79.38
USA,2020,Diabetes,Infectious,13.38,9.46,0.34,61+,Other,380412,63.39,0.55,8.05,Surgery,32235,No,95.88,4920,3.57,45705,0.64,76.59
USA,2023,Leprosy,Autoimmune,13.53,0.53,7.07,36-60,Female,936317,74.13,1.72,4.38,Medication,44539,No,56.95,3923,6.36,31144,0.59,77.17
USA,2023,Tuberculosis,Autoimmune,7.72,14.91,5.69,19-35,Other,574506,79.52,4.66,8.12,Surgery,31266,Yes,98.31,1610,0.59,56221,0.75,68.37
USA,2024,Measles,Chronic,5.5,12.41,2.68,19-35,Female,887813,51.98,3.34,8.46,Medication,37737,Yes,51.49,2760,3.63,85169,0.54,59.81
USA,2024,Hypertension,Metabolic,16.67,4.45,8.45,36-60,Other,96200,57.86,1.52,2.29,Surgery,6834,Yes,60.38,4254,6.43,47120,0.58,33.99
USA,2022,Rabies,Parasitic,2.16,6.35,6.92,61+,Female,626844,70.08,4.29,5.99,Surgery,39805,Yes,64.74,573,4.79,27566,0.85,48.09
USA,2023,Hypertension,Respiratory,13.84,1.86,2.61,36-60,Female,679534,62.36,2.59,3.25,Therapy,13506,Yes,98.44,4586,6.44,42574,0.83,59.24
USA,2023,Zika,Genetic,2.54,1.23,8.75,61+,Other,708448,76.59,3.12,9.26,Therapy,28444,No,75.91,2540,6.84,31538,0.64,63.64
USA,2022,Cholera,Neurological,13.94,5.18,0.87,19-35,Other,473591,76.61,2.88,0.92,Medication,48615,No,81.46,4994,1.58,31464,0.53,32.68
USA,2024,Rabies,Cardiovascular,6.3,1.99,8.56,0-18,Female,988174,50.09,4.88,0.77,Therapy,17423,No,56.36,4927,0.18,64799,0.72,55.43
USA,2020,Zika,Viral,0.25,3.36,7.33,19-35,Other,166206,79.77,3.51,7.28,Medication,44122,No,94.66,738,9.12,96820,0.56,38.63
USA,2020,Tuberculosis,Cardiovascular,6.47,0.71,1.24,36-60,Female,91406,66.55,4.61,4.43,Vaccination,47209,No,93.72,1028,6.83,77220,0.53,77.8
USA,2020,Cancer,Parasitic,8.13,4.59,1.74,61+,Other,907986,95.73,4.78,7.96,Therapy,29501,Yes,74.68,4981,1.75,22307,0.58,28.46
USA,2021,Asthma,Metabolic,3.03,11.21,2.55,19-35,Other,461493,78.04,3.91,4.3,Surgery,13147,No,84.68,3689,8.42,98267,0.54,54.17
USA,2023,Asthma,Genetic,15.16,8.37,0.46,19-35,Male,656666,53.77,2.19,7.77,Vaccination,26670,Yes,75.73,869,4.23,21750,0.86,84.22
USA,2021,Influenza,Respiratory,8.72,4.12,6.35,36-60,Female,195773,61.23,4.54,8.54,Surgery,21198,Yes,79.55,655,0.25,84246,0.52,83.36
USA,2023,Leprosy,Metabolic,9.07,11.17,4.42,36-60,Female,1610,60.31,2.08,0.57,Vaccination,11017,Yes,68.63,4624,8.72,20546,0.59,22.51
USA,2023,Alzheimer's Disease,Bacterial,13.35,2.06,6.57,0-18,Male,748693,74.36,4.25,1.44,Surgery,9055,Yes,88.7,3678,9.8,88279,0.81,22.07
USA,2024,Ebola,Chronic,2.01,9.42,1.6,19-35,Other,870426,56.38,1.68,6.08,Therapy,48368,No,84.97,4353,3.23,78258,0.54,33.26
USA,2021,Cholera,Bacterial,11.73,9.01,6.26,19-35,Female,290801,85.44,3.43,5.91,Vaccination,8387,Yes,64.04,1363,2.64,96166,0.86,60.43
USA,2024,Leprosy,Viral,11.25,12.84,7.68,61+,Male,42749,61.39,3.41,9.16,Therapy,855,Yes,66.47,3843,2.52,47702,0.58,29.18
USA,2021,Influenza,Neurological,13.64,11.58,4.94,61+,Male,382138,63.35,1.5,8.84,Vaccination,22888,No,96.29,648,5.19,20733,0.71,41.74
USA,2024,Measles,Neurological,3.76,15.0,3.46,19-35,Male,701906,85.86,2.73,4.98,Medication,33419,Yes,56.13,1638,0.45,34118,0.85,36.22
USA,2020,Zika,Cardiovascular,1.5,4.94,1.14,19-35,Other,347209,99.13,2.9,3.65,Surgery,26153,Yes,71.06,243,2.93,8607,0.86,48.94
USA,2020,Dengue,Chronic,3.19,1.05,0.52,0-18,Other,108399,83.01,2.97,6.52,Therapy,33183,Yes,74.17,3005,8.25,31385,0.79,37.77
USA,2022,Tuberculosis,Cardiovascular,1.05,3.46,2.27,36-60,Male,792263,69.64,2.11,7.25,Vaccination,39765,Yes,91.26,4448,6.49,43414,0.86,20.94
USA,2020,COVID-19,Metabolic,14.79,9.69,6.85,0-18,Male,547731,80.37,4.85,3.27,Vaccination,48708,Yes,85.79,1430,0.53,90359,0.52,29.91
USA,2024,Tuberculosis,Genetic,10.33,9.38,0.76,0-18,Male,470659,67.34,3.48,6.8,Therapy,27938,No,95.59,4421,6.0,56013,0.42,75.18
USA,2020,Parkinson's Disease,Infectious,14.4,13.78,9.46,36-60,Male,286160,77.51,1.86,2.34,Medication,14653,Yes,57.55,2980,7.24,28442,0.59,21.39
USA,2024,Alzheimer's Disease,Viral,18.28,12.43,4.18,61+,Other,708539,81.31,2.7,3.35,Therapy,22584,No,52.27,2922,6.19,20755,0.63,45.41
USA,2021,Diabetes,Cardiovascular,18.59,7.76,9.72,61+,Male,443920,67.51,2.29,6.7,Vaccination,45441,Yes,86.83,2200,2.13,99200,0.59,64.58
USA,2024,Ebola,Genetic,8.83,5.38,9.65,36-60,Other,263747,60.76,1.07,4.84,Medication,1865,Yes,92.69,1337,8.97,33582,0.5,24.43
USA,2024,Leprosy,Parasitic,3.03,12.64,1.79,19-35,Female,477794,91.13,4.0,2.76,Surgery,28623,No,66.28,2304,8.31,11358,0.81,69.03
USA,2020,Diabetes,Viral,6.79,10.1,1.03,36-60,Female,957987,88.79,1.93,5.2,Therapy,45567,Yes,77.84,3145,5.24,84968,0.66,63.6
USA,2024,Zika,Cardiovascular,15.43,12.25,7.61,0-18,Other,705503,77.67,2.82,5.72,Therapy,1604,Yes,66.28,3777,4.78,79147,0.54,89.34
USA,2023,Alzheimer's Disease,Cardiovascular,8.62,2.59,3.61,19-35,Female,892389,73.56,2.17,7.57,Medication,47824,Yes,51.0,4811,7.08,57706,0.73,50.87
USA,2021,Measles,Chronic,15.0,14.08,1.93,61+,Female,888758,57.53,2.95,9.97,Surgery,31936,Yes,81.22,4413,8.37,88054,0.82,85.07
USA,2024,Diabetes,Metabolic,6.54,5.92,7.79,0-18,Male,417766,75.49,4.04,7.38,Surgery,26044,No,50.74,3632,4.71,56460,0.8,87.11
USA,2024,Hepatitis,Metabolic,2.68,8.96,0.71,36-60,Female,809396,77.91,0.67,2.49,Medication,3421,Yes,96.25,4985,0.46,8314,0.84,73.7
USA,2022,Tuberculosis,Infectious,14.58,8.4,9.43,36-60,Other,197424,99.0,4.19,9.11,Therapy,4216,Yes,84.16,4398,7.25,63693,0.82,78.95
USA,2020,Parkinson's Disease,Bacterial,5.64,4.92,1.08,0-18,Other,351164,58.41,3.36,1.96,Vaccination,868,No,56.3,1649,2.6,65198,0.62,83.87
USA,2024,Rabies,Parasitic,19.94,8.52,9.61,36-60,Female,527721,96.41,4.97,9.62,Medication,279,Yes,66.6,2386,7.54,35490,0.82,23.64
USA,2021,Leprosy,Infectious,13.28,1.95,8.45,19-35,Male,153506,89.25,4.4,3.42,Therapy,26286,No,50.93,4834,7.42,88880,0.69,65.25
USA,2024,Hypertension,Metabolic,6.87,9.72,9.64,0-18,Male,907590,50.27,0.58,8.04,Vaccination,49413,No,64.82,327,1.22,73263,0.57,57.41
USA,2021,Cancer,Neurological,7.59,10.98,6.6,0-18,Male,71430,82.85,1.22,8.02,Therapy,25552,No,73.72,2260,9.96,9287,0.47,49.29
USA,2024,Parkinson's Disease,Autoimmune,15.76,14.71,7.9,36-60,Male,123836,67.04,2.3,4.38,Medication,28944,Yes,98.91,1738,7.32,13378,0.41,65.13
USA,2020,Hepatitis,Respiratory,7.56,4.98,5.94,36-60,Female,349946,64.57,4.66,5.27,Therapy,20841,No,88.33,4582,0.21,45594,0.83,30.81
USA,2023,Ebola,Neurological,2.22,6.03,7.38,36-60,Female,310260,81.08,3.01,6.35,Surgery,17518,No,65.2,1752,4.04,81433,0.58,29.49
USA,2023,Influenza,Viral,15.12,9.89,4.94,0-18,Female,167907,68.68,4.08,4.22,Therapy,16342,No,87.6,3396,5.29,79507,0.54,68.22
USA,2023,Influenza,Parasitic,11.79,8.78,6.41,61+,Male,688954,52.42,0.71,6.41,Medication,43539,No,56.25,1606,8.21,55791,0.71,21.8
USA,2024,HIV/AIDS,Infectious,6.89,4.88,5.76,19-35,Female,180952,73.45,1.69,7.49,Vaccination,16851,Yes,53.73,4900,7.54,55248,0.55,23.22
USA,2020,Polio,Viral,4.78,0.99,7.83,36-60,Male,719666,51.41,2.96,1.66,Therapy,27302,Yes,71.88,1420,3.65,63822,0.48,35.16
USA,2021,Leprosy,Neurological,7.11,13.84,9.17,36-60,Female,295847,82.77,3.17,2.82,Surgery,33417,No,51.08,77,1.05,41461,0.71,83.55
USA,2020,Diabetes,Metabolic,15.25,9.09,2.68,36-60,Other,592564,84.3,4.03,5.78,Therapy,45717,No,72.98,3981,8.2,8732,0.71,45.23
USA,2023,Diabetes,Parasitic,13.86,11.29,6.76,61+,Male,685535,53.2,4.69,9.36,Surgery,48560,No,55.57,1152,2.69,46384,0.44,29.87
USA,2022,Parkinson's Disease,Genetic,4.25,8.59,3.79,0-18,Other,73038,97.44,3.05,8.18,Surgery,15857,Yes,53.31,4495,7.55,85496,0.83,31.06
USA,2024,Asthma,Infectious,3.36,9.63,3.13,19-35,Female,627611,58.7,1.18,1.59,Surgery,41002,Yes,61.36,2802,9.27,97308,0.81,77.46
USA,2022,Asthma,Parasitic,14.8,6.61,1.94,19-35,Other,522793,75.57,0.97,1.54,Vaccination,23363,No,50.11,4320,4.12,90583,0.84,32.47
USA,2024,Zika,Neurological,1.91,6.28,6.47,19-35,Female,599480,65.54,4.98,0.67,Medication,40923,No,85.29,1992,1.84,668,0.84,48.22
USA,2020,Asthma,Respiratory,19.08,2.79,2.62,0-18,Other,734980,59.44,4.89,1.03,Surgery,14022,No,53.33,1047,5.73,69237,0.55,88.41
USA,2021,Polio,Parasitic,19.01,11.58,8.79,61+,Other,195707,81.53,1.71,8.48,Therapy,46437,Yes,82.72,4026,5.53,18763,0.63,62.74
USA,2024,Leprosy,Chronic,15.79,4.94,4.13,61+,Male,921787,54.8,4.37,8.86,Surgery,13832,No,93.45,730,0.38,39758,0.74,67.18
USA,2024,Measles,Infectious,5.04,2.89,7.44,0-18,Other,757495,61.64,4.44,3.09,Vaccination,24113,No,84.0,2279,1.13,53686,0.77,61.79
USA,2023,Tuberculosis,Bacterial,1.73,8.14,6.21,19-35,Other,82658,95.93,4.28,5.17,Therapy,46460,No,72.53,3685,4.3,6629,0.87,67.29
USA,2024,HIV/AIDS,Chronic,12.63,2.18,2.63,36-60,Male,884870,52.02,4.47,0.67,Vaccination,25548,No,50.63,4093,5.94,15756,0.6,75.63
USA,2024,Hepatitis,Genetic,3.64,3.04,7.58,0-18,Female,610524,93.88,3.79,2.2,Vaccination,38533,Yes,56.76,134,7.0,27064,0.56,41.11
USA,2021,COVID-19,Chronic,7.32,3.19,1.02,19-35,Female,592363,81.31,3.85,3.22,Surgery,40471,Yes,89.37,406,9.7,51760,0.52,79.1
USA,2024,Asthma,Respiratory,6.79,1.02,3.04,36-60,Female,407939,88.15,2.32,8.21,Vaccination,48981,No,84.87,3716,6.05,26414,0.74,55.3
USA,2024,Asthma,Bacterial,5.96,5.92,9.7,36-60,Male,729884,63.78,2.23,6.74,Therapy,351,No,87.82,221,6.28,6788,0.89,51.61
USA,2020,Cancer,Genetic,15.44,8.32,3.12,61+,Other,989132,58.96,3.81,6.84,Medication,34555,Yes,69.18,4050,8.85,28181,0.66,57.88
USA,2022,Measles,Genetic,9.67,0.94,2.24,36-60,Female,923829,59.25,2.1,9.24,Surgery,26726,Yes,57.08,2155,3.03,24968,0.71,80.03
USA,2023,Leprosy,Infectious,4.54,4.27,8.17,61+,Other,153383,52.65,3.59,5.69,Therapy,20240,No,59.19,4786,7.84,12880,0.47,44.4
USA,2021,Cancer,Genetic,12.36,10.24,9.56,19-35,Other,30626,80.8,4.67,2.9,Medication,33900,No,95.36,4134,4.29,50705,0.43,25.6
USA,2020,Measles,Cardiovascular,15.44,12.76,9.52,36-60,Female,582776,77.2,3.23,6.79,Medication,29561,No,68.32,1299,1.19,46152,0.4,52.55
USA,2024,Cholera,Viral,15.79,7.14,4.24,19-35,Other,682008,80.75,4.14,8.32,Medication,21492,No,56.96,552,5.13,85910,0.59,21.06
USA,2020,Dengue,Chronic,13.81,1.07,4.51,0-18,Other,295484,95.65,1.36,8.05,Vaccination,33658,Yes,97.42,179,9.78,2982,0.64,69.75
USA,2022,Hepatitis,Parasitic,4.49,11.94,2.32,61+,Other,834486,95.43,0.89,1.17,Vaccination,40101,No,82.22,4639,2.53,81680,0.67,53.64
USA,2020,Cancer,Infectious,18.44,4.23,6.01,61+,Male,380405,99.59,3.53,0.77,Therapy,2552,Yes,82.05,2265,8.43,65928,0.77,64.49
USA,2020,Dengue,Bacterial,5.75,12.82,2.4,19-35,Female,958856,87.15,3.03,1.08,Medication,699,No,96.53,3513,1.27,75004,0.53,28.85
USA,2021,Rabies,Infectious,9.73,0.18,1.78,0-18,Other,462377,64.2,4.74,5.66,Medication,38344,No,73.15,1630,6.83,21369,0.77,25.57
USA,2022,Parkinson's Disease,Parasitic,0.65,1.88,5.67,61+,Other,958646,83.14,1.53,3.36,Medication,10892,Yes,92.59,4326,0.31,59330,0.88,73.12
USA,2020,COVID-19,Neurological,19.49,12.44,1.25,36-60,Other,928272,91.76,2.08,7.38,Therapy,35856,Yes,65.61,4862,4.3,1821,0.83,35.4
USA,2024,Parkinson's Disease,Respiratory,0.84,0.96,5.71,0-18,Other,635916,82.62,2.1,6.62,Surgery,31458,Yes,85.46,1479,3.46,21819,0.83,84.34
USA,2022,HIV/AIDS,Respiratory,8.93,8.46,3.26,61+,Female,691406,60.21,0.68,9.24,Surgery,24911,No,68.64,2497,7.1,76848,0.58,67.72
USA,2021,Parkinson's Disease,Metabolic,18.26,1.39,8.84,36-60,Other,373294,91.96,4.82,6.08,Vaccination,21648,Yes,54.6,1874,8.14,74336,0.69,56.93
USA,2023,Polio,Parasitic,1.69,2.27,4.32,0-18,Other,560801,73.21,1.5,9.22,Medication,38305,No,70.5,4475,4.87,65444,0.69,75.01
USA,2021,Zika,Viral,11.57,7.09,1.88,61+,Female,169846,85.17,1.18,0.91,Surgery,8367,Yes,77.65,382,1.91,12072,0.87,72.83
USA,2021,Cholera,Infectious,2.5,10.98,5.8,61+,Other,978597,82.73,3.47,1.87,Vaccination,27039,Yes,73.3,2966,5.78,29184,0.79,67.57
USA,2023,Alzheimer's Disease,Cardiovascular,12.62,12.14,3.1,0-18,Male,953529,68.81,2.29,8.44,Vaccination,30233,Yes,91.59,2188,6.2,1022,0.84,74.59
USA,2024,HIV/AIDS,Parasitic,7.17,12.45,2.33,61+,Male,187027,55.12,3.07,9.95,Therapy,45089,No,52.1,4095,1.48,15966,0.59,63.75
USA,2020,Hypertension,Bacterial,18.49,14.0,1.35,0-18,Female,136406,71.58,4.21,3.81,Medication,7210,Yes,80.33,2750,3.76,8478,0.52,27.05
USA,2024,Tuberculosis,Genetic,15.6,4.23,8.48,19-35,Male,6327,66.96,2.48,7.47,Vaccination,42507,Yes,60.66,483,5.25,49749,0.87,80.93
USA,2022,HIV/AIDS,Respiratory,1.72,2.52,7.39,36-60,Male,486449,73.56,4.93,2.41,Surgery,37817,No,71.58,340,7.94,28351,0.82,55.55
USA,2020,Hepatitis,Infectious,16.41,11.06,8.63,19-35,Female,722032,71.84,3.72,1.42,Therapy,3839,Yes,55.04,4045,2.7,30020,0.89,85.75
USA,2020,Tuberculosis,Genetic,16.96,8.33,0.27,0-18,Male,212730,83.24,3.59,5.61,Surgery,16858,Yes,81.24,2189,8.24,92105,0.83,77.98
USA,2020,Influenza,Metabolic,2.63,12.87,0.79,36-60,Other,362478,50.26,0.88,4.93,Therapy,44313,No,85.7,2229,9.72,12163,0.67,69.12
USA,2021,Leprosy,Viral,19.8,13.68,7.23,61+,Female,636086,55.41,2.8,4.57,Vaccination,10029,No,82.23,2408,3.22,49420,0.59,48.78
USA,2024,Dengue,Parasitic,17.21,13.8,9.54,61+,Female,491640,62.61,1.81,1.2,Surgery,6832,No,92.68,2741,1.02,26663,0.68,71.62
USA,2022,Cancer,Parasitic,1.79,3.07,1.25,0-18,Other,234648,99.72,1.98,7.95,Medication,17926,Yes,57.56,3287,8.41,47498,0.88,21.66
USA,2020,COVID-19,Chronic,3.24,2.12,0.5,61+,Female,797863,97.74,0.86,2.68,Medication,30522,Yes,71.36,4895,4.14,70095,0.41,25.15
USA,2023,Asthma,Metabolic,16.37,14.83,0.93,36-60,Other,10769,90.34,4.16,7.15,Vaccination,41086,No,50.43,4211,1.36,90373,0.77,37.36
USA,2020,COVID-19,Cardiovascular,5.66,8.31,0.16,61+,Other,333606,96.46,3.58,8.95,Therapy,2141,No,93.85,3418,0.61,83909,0.43,54.81
USA,2021,Hypertension,Bacterial,7.01,14.9,3.97,36-60,Female,918799,78.13,4.39,9.13,Vaccination,10082,Yes,53.53,196,1.55,58579,0.56,20.52
USA,2023,Malaria,Neurological,15.12,3.6,6.51,19-35,Female,352541,51.87,2.88,7.94,Therapy,13882,Yes,65.36,3272,2.58,60729,0.88,35.11
USA,2020,Polio,Viral,5.84,10.07,9.93,19-35,Female,360548,73.48,1.36,8.48,Therapy,19494,Yes,74.24,2199,4.3,80538,0.7,82.3
USA,2022,Influenza,Neurological,9.84,11.97,3.36,61+,Female,160961,73.76,4.33,2.36,Medication,6254,Yes,53.9,2890,8.52,75042,0.48,59.22
USA,2021,Zika,Metabolic,16.09,8.17,8.04,36-60,Male,898020,53.24,1.31,2.03,Therapy,4889,No,68.49,2822,5.12,35047,0.46,66.4
USA,2021,Ebola,Genetic,1.33,7.66,2.0,0-18,Male,368388,55.33,0.7,7.6,Medication,20707,No,59.86,2081,4.52,87319,0.74,55.85
USA,2020,COVID-19,Autoimmune,18.95,3.73,2.48,19-35,Female,969276,58.14,3.22,7.01,Therapy,23323,Yes,85.42,1616,3.16,54573,0.53,56.95
USA,2020,Alzheimer's Disease,Chronic,10.88,11.03,0.74,19-35,Female,383162,78.35,3.32,9.89,Therapy,44929,Yes,58.25,4570,7.51,21871,0.45,72.38
USA,2023,Malaria,Cardiovascular,3.41,8.46,2.65,61+,Other,4706,84.18,2.45,3.68,Vaccination,11248,Yes,93.82,3232,0.13,6566,0.88,59.6
USA,2024,Malaria,Autoimmune,13.37,14.27,7.81,19-35,Male,911798,97.57,3.8,9.85,Surgery,7700,Yes,77.76,1191,5.85,13038,0.45,66.81
USA,2024,Measles,Parasitic,19.88,13.75,4.14,19-35,Male,838220,78.73,4.02,8.58,Surgery,19238,Yes,54.63,3385,3.41,67727,0.73,32.6
USA,2024,Asthma,Genetic,19.36,7.55,9.9,61+,Other,879646,68.46,1.15,3.72,Surgery,9781,Yes,55.21,4716,6.02,56116,0.67,25.13
USA,2022,Hepatitis,Parasitic,12.81,11.83,2.84,36-60,Other,539612,52.56,1.01,7.98,Medication,29922,No,78.81,3629,9.58,79704,0.66,20.91
USA,2022,Zika,Chronic,15.63,6.7,3.04,61+,Female,11610,50.2,1.34,7.83,Therapy,48167,Yes,66.65,3225,0.68,19941,0.51,54.52
USA,2022,Cancer,Cardiovascular,6.48,6.47,2.39,0-18,Male,967317,51.49,4.88,9.87,Therapy,2845,No,79.89,1356,2.16,40037,0.7,49.75
USA,2024,Ebola,Genetic,18.69,6.34,9.32,36-60,Other,610266,59.65,4.58,7.47,Surgery,15192,Yes,58.12,4472,3.67,47591,0.7,36.23
USA,2023,Measles,Chronic,11.66,11.26,7.4,0-18,Other,377177,81.79,2.47,9.03,Therapy,32785,Yes,67.72,641,0.74,43532,0.69,59.12
USA,2023,Hypertension,Infectious,15.25,12.23,3.02,36-60,Female,311848,56.26,2.88,6.68,Surgery,31080,Yes,53.07,2124,8.59,36526,0.54,68.34
USA,2023,Polio,Viral,14.5,5.62,2.48,61+,Other,757599,78.81,2.45,0.63,Surgery,36651,No,83.68,927,3.55,33115,0.5,61.9
USA,2023,Parkinson's Disease,Autoimmune,18.56,11.05,7.23,0-18,Male,789538,99.98,0.56,5.64,Vaccination,42251,Yes,53.64,68,3.17,84050,0.84,56.73
USA,2022,Ebola,Cardiovascular,5.17,11.94,7.0,0-18,Male,28730,81.61,4.76,9.86,Therapy,9934,No,74.25,3060,2.74,37714,0.79,38.87
USA,2024,Asthma,Genetic,5.84,6.37,6.07,36-60,Male,718442,68.82,4.29,1.17,Therapy,41612,No,60.28,1496,1.13,49785,0.87,22.83
USA,2023,HIV/AIDS,Genetic,4.38,2.92,1.19,0-18,Female,737341,79.64,3.15,1.51,Medication,7135,No,58.25,857,3.75,15150,0.6,27.73
USA,2020,Tuberculosis,Genetic,7.85,13.93,8.79,36-60,Male,380414,53.24,0.87,2.94,Therapy,23669,Yes,78.2,1944,3.92,62304,0.73,30.01
USA,2023,Tuberculosis,Viral,1.17,3.31,3.6,19-35,Male,21619,84.38,4.19,8.05,Vaccination,42381,No,91.57,4910,0.77,85667,0.62,86.87
USA,2022,Measles,Chronic,14.87,8.22,3.5,61+,Other,151713,99.61,4.76,4.16,Vaccination,29635,No,65.64,1341,2.64,17646,0.68,80.95
USA,2024,Cholera,Neurological,9.08,5.23,7.92,19-35,Other,518139,52.85,3.46,4.44,Vaccination,13355,Yes,85.58,4734,9.78,93791,0.88,60.55
USA,2024,Ebola,Chronic,10.0,11.74,6.94,36-60,Male,648078,89.61,4.36,3.2,Surgery,40070,No,75.03,893,5.98,38141,0.64,86.66
USA,2022,Malaria,Infectious,13.03,12.02,9.64,61+,Male,856009,57.03,3.59,6.24,Surgery,26818,No,68.62,2261,0.51,33408,0.81,51.27
USA,2020,Measles,Chronic,6.56,4.67,2.6,0-18,Female,380908,92.58,0.87,2.93,Surgery,7741,Yes,88.48,1164,1.67,20852,0.8,47.49
